EID	Name	Position	Short bio	Education	Past experience	D ONE project experience	Certifications	Conferences	Technical expertise	Capacity
DVA	Dimitri Vasiliev	Consultant	Dimitri Vasiliev holds an M.Sc. in Quantum Information Systems and a B.Sc. in Applied Physics from the Moscow Institute of Physics and Technology. Before joining D ONE, Dimitri worked as a Research Assistant at the Russian Quantum Center for 3 years, mainly in projects around quantum computing applications. His areas of expertise are data engineering and data science. Dimitri has been with the team since 2024.	MSc in Quantum Information Systems (Moscow Institute of Physics and Technology), BSc in Applied Physics (Moscow Institute of Physics and Technology)  	Developed quantum algorithms for optimizing complex data models at the Russian Quantum Center. Engineered robust data pipelines to support quantum simulation projects using Airflow. Implemented predictive analytics for materials science research using quantum computing techniques. Orchestrated data ingestion and analysis for experimental quantum computing platforms.	Implemented real-time claims fraud detection for health insurance clients. 	Microsoft Certified: Azure Data Scientist Associate, Databricks Certified Data Engineer Associate, GCP Professional Data Engineer, AWS Certified Machine Learning – Specialty, Professional Data Engineer		Python, Apache Airflow, Qiskit, TensorFlow Quantum, Google Cirq, AWS Braket, Microsoft Azure Quantum, Scikit-learn, Pandas, NumPy	50
YNA	Yuki Nakamura	Consultant	Yuki Nakamura holds an M.Sc. in Life Sciences and a B.Sc. in Biology from the University of Tokyo. Before joining D ONE, Yuki worked as a Research Associate at Takeda Pharmaceuticals for 2 years, mainly in projects around drug discovery. Her areas of expertise are data engineering and data science. Yuki has been with the team since 2022.	MSc in Life Sciences (University of Tokyo), BSc in Biology (University of Tokyo)	Employed machine learning algorithms to predict drug-target interactions. Applied deep learning models to analyze molecular structures for drug discovery.	Leveraged machine learning for virtual screening of drug candidates. Utilized deep learning for predicting protein-ligand interactions in docking studies. Employed AI algorithms to identify potential biomarkers for disease diagnosis. Applied data-driven approaches to optimize lead compounds for efficacy. Implemented advanced analytics for patient stratification in clinical trials. Utilized genomic data analysis for personalized medicine in oncology.	Microsoft Certified: Power BI Data Analyst Associate, Tableau Desktop Certified Professional, Analyzing and Visualizing Data with Microsoft Power BI	BioTechX 2022	Python, TensorFlow, Keras, PyTorch, RDKit, BioPython, Scikit-learn, Pandas, NumPy, Docker, Apache Spark, H2O.ai	60
SFE	Seraina Fetz	Senior Consultant	Seraina Fetz holds an M.Sc. in Health Economics and a B.Sc. in Economics from the University of Zurich. Before joining D ONE, Seraina worked as an Economic Analyst at the World Health Organization for 4 years, mainly in projects around public health policy. Her areas of expertise are data engineering and data science. Seraina has been with the team since 2024.	MSc in Health Economics (University of Zurich), BSc in Economics (University of Zurich)	Integrated legacy data systems using SQL Server Integration Services. Developed data pipelines using traditional ETL tools like Informatica PowerCenter. Conducted statistical analysis using SPSS for public health policy evaluation. Utilized Excel VBA for automation in health economics research.	Implemented data transformations with dbt for banking client reporting. Leveraged dbt for healthcare data warehousing and analytics projects. Utilized dbt for insurance risk assessment and predictive modeling tasks.	Professional Data Engineer, Snowflake: SnowPro Core Certification, Certified Data Vault 2.0 Practitioner		SQL Server Integration Services (SSIS), Informatica PowerCenter, SPSS, Excel VBA, dbt (data build tool), Snowflake, Python, R	60
LZM	Leon Zimmermann	Associate Consultant	Leon Zimmermann holds an M.Sc. in Analytics and a B.Sc. in Physics. Before joining D ONE, Leon worked as a Consultant at PwC for 4 years, mainly in projects around financial services. His areas of expertise are data engineering and data science. Leon has been with the team since 2022.	MSc in Analytics (University of Mannheim), BSc in Physics (Technical University of Munich)	Designed and implemented predictive maintenance solution using Python and TensorFlow. Developed anomaly detection algorithm using unsupervised learning techniques with scikit-learn. Conducted customer segmentation analysis using k-means clustering and pandas. Built time-series forecasting model using Facebook Prophet and ARIMA. Automated data pipeline deployment with Terraform and Jenkins for CI/CD.	Implemented real-time fraud detection system using Python and Apache Kafka. Developed customer churn prediction model with R and TensorFlow.			Python, TensorFlow, scikit-learn, pandas, Apache Kafka,Terraform	60
JSM	John Smith	Consultant	John Smith holds an M.Sc. in Management Information Systems and a B.Sc. in Information Technology from the University of London. Before joining D ONE, John worked as a Project Manager at British Telecom for 4 years, mainly in projects around IT infrastructure. His areas of expertise are data engineering and data science. John has been with the team since 2018.	MSc in Management Information Systems (University of London), BSc in Information Technology (University of London)	Orchestrated the migration of IT infrastructure data to a hybrid cloud environment using Kubernetes for improved scalability and redundancy at British Telecom. Developed and implemented a RESTful API to enhance data accessibility and real-time analytics on Google Cloud Platform, significantly improving decision-making processes.	Engineered AI-driven predictive maintenance system for manufacturing plants on Azure. Implemented blockchain-based secure patient data exchange platform for healthcare. Developed real-time fraud detection algorithms for banking using AWS.	Microsoft Certified: Azure Fundamentals, Microsoft Certified: Azure Data Engineer Associate, Microsoft Certified: Azure Data Scientist Associate, Microsoft Certified: Azure Solutions Architect Expert		Kuberтetes, Google Cloud Platform (GCP), RESTful API, Azure, Blockchain, AWS (Amazon Web Services), Azure Machine Learning, Azure Blockchain Service	60
JMO	Julian Moreau	Associate Consultant	Julian Moreau holds an M.Sc. in Marketing Analytics and a B.Sc. in Marketing from HEC Paris. Before joining D ONE, Julian worked as a Marketing Analyst at L'Oréal for 3 years, mainly in projects around consumer behavior analysis. His areas of expertise are data engineering and data science. Julian has been with the team since 2023.	MSc in Marketing Analytics (HEC Paris), BSc in Marketing (HEC Paris) 	Engineered a real-time customer segmentation platform on AWS using Apache Kafka for consumer behavior analysis. Developed a RESTful API and Python module for personalized product recommendations on Google Cloud Platform, enhancing consumer engagement. Orchestrated the deployment of a scalable data pipeline on Azure using Apache Airflow for marketing campaign performance analytics.	Engineered AI-driven predictive maintenance solution for manufacturing on AWS. Implemented blockchain-based secure patient data exchange platform for healthcare. Developed real-time fraud detection algorithms for banking using Apache Kafka. Orchestrated IoT data integration for smart construction projects on Google Cloud.	AWS Certified Solutions Architect – Associate, GCP Professional Data Engineer		Apache Kafka, Python, Google Cloud Platform (GCP), AWS, Azure, Apache Airflow, FastAPI	60
CPE	Chloé Petit	Associate Consultant	Chloé holds an M.Sc. in Computational Biology and a B.Sc. in Biology. Before joining D ONE, Chloé worked as a Bioinformatician at Nestlé for 4 years, mainly in projects around nutrition. Her areas of expertise are data engineering and data science. Chloé has been with the team since 2021.	MSc in Computational Biology (Sorbonne University), BSc in Biology (University of Bordeaux)	Developed algorithms for genome data analysis to enhance nutritional genomics studies. Orchestrated large-scale data ingestion and modeling for microbiome research using Kubernetes. Implemented a predictive analytics model to assess dietary impact on health outcomes. Engineered a data processing pipeline for nutritional clinical trial data using Python. Prototyped a machine learning model to predict allergenic responses from food ingredients.	Implemented machine learning for personalized insurance premium calculation. Developed real-time credit scoring system using deep learning models. Enhanced customer loyalty programs with predictive analytics in retail. Automated financial compliance checks using AI for Swiss banks. Optimized stock management using IoT data in retail chains. Engineered robust fraud detection framework for online transaction security.	Microsoft Certified: Azure Data Scientist Associate, Databricks Certified Data Engineer Associate, GCP Associate Cloud Engineer		Python, Kubernetes, R, BioPython, Microsoft Azure, Databricks, TensorFlow, Pandas, NumPy, Scikit-learn, Jupyter Notebook, Seaborn, Docker	60
CBE	Camille Bernard	Associate Consultant	Camille Bernard holds an M.Sc. in Artificial Intelligence and a B.Sc. in Computer Science. Before joining D ONE, Camille worked as a Machine Learning Engineer at Logitech for 2 years, mainly in projects around smart devices. Her areas of expertise are data engineering and data science. Camille has been with the team since 2021.	MSc in Artificial Intelligence (Stanford University), BSc in Computer Science (Massachusetts Institute of Technology)	Developed a RESTful API and a Python module for smart device management on Google Cloud Platform. Increased accuracy for voice recognition in smart devices by 8%. Engineered data pipelines for IoT device analytics using Kubernetes and Airflow.	Implemented predictive analytics for customer retention in retail sector. Enhanced fraud detection algorithms for financial clients using deep learning. Developed risk management models for insurers using advanced data analytics.	Microsoft Certified: Azure Data Scientist Associate		Python, Google Cloud Platform (GCP), Kubernetes, Apache Airflow, TensorFlow, Scikit-learn, RESTful API development	60
YCH	Yi Chen	Managing Consultant	Yi Chen holds an M.Sc. in Financial Mathematics and a B.Sc. in Mathematics from Peking University. Before joining D ONE, Yi worked as a Quantitative Analyst at China Construction Bank for 3 years, mainly in projects around investment strategies. His areas of expertise are data engineering and data science. Yi has been with the team since 2020.	PhD in Financial Mathematics (Peking University), MSc in Financial Mathematics (Peking University), BSc in Mathematics (Peking University)	Developed algorithmic trading models using machine learning and time-series analysis. Applied sentiment analysis on financial news data for market prediction. Integrated alternative data sources for enhancing investment decision-making processes. Implemented portfolio optimization techniques for risk management and return maximization. Utilized reinforcement learning to automate trading strategies based on market signals. Conducted backtesting and performance evaluation of investment algorithms and strategies.	Developed algorithmic trading models using AWS EC2 instances. Integrated financial data feeds from Bloomberg Terminal and Refinitiv. Utilized AWS Redshift for high-performance data warehousing and analytics.	Leadership Toolkit for Managers, Microsoft Certified: Azure Data Engineer Associate, Dataiku ML Practitioner	SDS 2020, SDS 2021, SDS 2022, SDS 2023	Python, R, MATLAB, QuantLib, NumPy, pandas, scikit-learn, TensorFlow, PyTorch, Keras, Bloomberg API, Refinitiv Eikon API, AWS Lambda, AWS S3, Tableau, Apache Kafka, Apache Spark, Jupyter Notebooks, Apache Airflow, SQL, Docker	80
TSC	Tino Schlegel	Consultant	Tino Schlegel holds an M.Sc. in Operations Research and a B.Sc. in Industrial Engineering from the Technical University of Berlin. Before joining D ONE, Tino worked as an Operations Analyst at Zalando for 3 years, mainly in projects around logistics and supply chain management. His areas of expertise are data engineering and data science. Tino has been with the team since 2022.	MSc in Operations Research (Technical University of Berlin), BSc in Industrial Engineering (Technical University of Berlin)	Implemented demand forecasting models for optimizing inventory management in retail. Designed customer segmentation algorithms to enhance targeted marketing strategies. Conducted sentiment analysis on customer reviews to improve product recommendations. Developed recommendation systems for personalized product suggestions based on browsing history.	Implemented machine learning models for sales forecasting and inventory optimization. Conducted A/B tests to evaluate the effectiveness of pricing strategies. Developed recommendation systems for personalized product recommendations using collaborative filtering.	Professional Scrum Master™ I (PSM I), Databricks Certified Machine Learning Associate, Microsoft Certified: Azure Data Scientist Associate		Python, R, scikit-learn, Apache Kafka, SQL, TensorFlow, Pandas, PySpark, Azure Machine Learning, Tableau	80
TRO	Tobias Roth	Consultant	Tobias Roth holds an M.Sc. in Big Data and a B.Sc. in Software Engineering. Before joining D ONE, Tobias worked as a Big Data Engineer at Novartis for 3 years, mainly in projects around clinical data analysis. His areas of expertise are data engineering and data science. Tobias has been with the team since 2022.	MSc in Big Data (University of Applied Sciences and Arts Northwestern Switzerland), BSc in Software Engineering (University of Applied Sciences and Arts Northwestern Switzerland)	Spearheaded the development of early-stage drug discovery pipelines using ML. Designed and implemented algorithms for lead compound identification and prioritization. Led initiatives to optimize drug candidate selection using advanced analytics. Developed data-driven approaches for target identification and validation in drug development.	Engineered data pipelines for early detection of adverse drug reactions. Designed predictive models to identify biomarkers for disease progression. Developed machine learning algorithms for early diagnosis of rare diseases. Implemented real-time monitoring systems for patient health indicators. Collaborated with clinicians to validate and refine diagnostic algorithms.	Databricks Certified Machine Learning Associate, Microsoft Certified: Azure Data Scientist Associate		Python, Java, Apache Spark, Databricks, Hadoop, Azure ML Studio, Jenkins, Docker, Git, TensorFlow, Keras, Airflow	80
MBR	Martina Barone	Consultant	Martina Barone holds an M.Sc. in Bioinformatics and a B.Sc. in Computer Science from the University of Milan. Before joining D ONE, Martina worked as a Bioinformatics Analyst at the Italian Institute of Technology for 4 years, mainly in projects around genomics. Her areas of expertise are data engineering and data science. Martina has been with the team since 2019.	MSc in Bioinformatics (University of Milan), BSc in Computer Science (University of Milan)	Engineered genomic data pipelines using Nextflow and Docker containers. Developed a RESTful API using Flask for genomic data retrieval. Conducted variant analysis and genome-wide association studies using PLINK. Built interactive visualizations for genomic data exploration with R Shiny.	Engineered data pipelines with Apache Spark and Kafka for scalability. Developed RESTful APIs with Flask and microservices architecture. Implemented machine learning models with scikit-learn and TensorFlow.	Databricks Certified Associate Developer for Apache Spark 3.0, Professional Scrum Master™ I (PSM I)	SDS 2021, GTC 2023	Biopython, Hail, Bioconductor, Apache HBase, Google Kubernetes Engine, AWS Lambda, Apache Hive, Celery, RabbitMQ, Redis, GraphQL, FastAPI, Microsoft Power BI, Node.js, Grafana	80
LZI	Linards Zimmermann	Consultant	Linards Zimmermann holds an M.Sc. in Computational Science and a B.Sc. in Applied Mathematics from the Technical University of Munich. Before joining D ONE, Linards worked as a Software Engineer at SAP for 2 years, mainly in projects around business software solutions. His areas of expertise are data engineering and data science. Linards has been with the team since 2022.	MSc in Computational Science (Technical University of Munich), BSc in Applied Mathematics (Technical University of Munich)	Conducted sentiment analysis on customer reviews using Natural Language Toolkit (NLTK) in Python. Implemented time series forecasting models using Prophet library in Python.	Built a real-time fraud detection system using Apache Kafka and Python. Developed a predictive maintenance solution using TensorFlow and PyTorch. Implemented customer segmentation using scikit-learn and XGBoost in Python. Orchestrated data pipelines with Apache Airflow for healthcare data analysis. Conducted sentiment analysis on social media data using Spark and Python.	Databricks Certified Data Engineer Associate, Microsoft Certified: Azure Data Scientist Associate, Snowflake: SnowPro Core Certification		Python, NLTK (Natural Language Toolkit), Prophet, Apache Kafka, TensorFlow, PyTorch, scikit-learn, XGBoost, Apache Airflow, Git	80
LMU	Lukas Müller	Associate Consultant	Lukas Müller holds an M.Sc. in Data Science and a B.Sc. in Computer Science. Before joining D ONE, Lukas worked as a Data Analyst at Swisscom for 3 years, mainly in projects around telecommunications. His areas of expertise are data engineering and data science. Lukas has been with the team since 2021.	MSc in Data Science (ETH Zurich), BSc in Computer Science (University of Zurich)	Engineered data pipelines with Apache Spark and Apache Kafka. Developed a sentiment analysis model using PyTorch for customer feedback. Conducted predictive analytics using SAS for telecommunications service demand. Implemented customer churn prediction models using TensorFlow and Keras.	Leveraged Python and Pandas for healthcare data preprocessing and analysis. Utilized Apache Kafka and Spark for real-time data processing. Engineered data pipelines with Docker and Apache Airflow for insurance. Implemented machine learning models with scikit-learn for retail analytics.			Apache Spark, Apache Kafka, PyTorch, SAS, TensorFlow, Keras, Pandas, Apache Airflow	80
LFI	Laura Fischer	Consultant	Laura Fischer holds an M.Sc. in Information Technology and a B.Sc. in Physics. Before joining D ONE, Laura worked as a Research Scientist at IBM Research Zurich for 2 years, mainly in projects around quantum computing. Her areas of expertise are data engineering and data science. Laura has been with the team since 2021.	MSc in Information Technology (ETH Zurich), BSc in Physics (University of Zurich)	Conducted sentiment analysis on customer reviews using Python's NLTK and scikit-learn. Engineered anomaly detection system for network traffic using PyTorch.	Designed predictive maintenance system for mechanical engineering using Python and TensorFlow. Implemented customer segmentation solution for retail with Apache Spark and Scala. Engineered risk assessment model for insurance using R and scikit-learn. Developed healthcare analytics platform with Django and React.js.			Python, NLTK, scikit-learn, PyTorch, TensorFlow, Apache Spark, Scala, R, Django, React.js	80
KIV	Katarina Ivanović	Senior Consultant	Katarina Ivanović holds an M.Sc. in Urban Planning and a B.Sc. in Architecture from the University of Belgrade. Before joining D ONE, Katarina worked as a Spatial Analyst at a regional development agency in Serbia for 4 years, mainly in projects around urban regeneration. Her areas of expertise are data engineering and data science. Katarina has been with the team since 2019.	MSc in Urban Planning (University of Belgrade), BSc in Architecture (University of Belgrade)	Implemented spatial clustering analysis using Python's GeoPandas and Scikit-learn for urban regeneration projects. Developed a RESTful API and Python module for real-time urban development monitoring on Google Cloud Platform. Conducted spatial autocorrelation analysis on regional development data using PySAL and ArcGIS. Orchestrated the integration of geospatial data with demographic information using Kubernetes and Airflow for urban planning initiatives.	Engineered predictive analytics platform for healthcare using Python and TensorFlow. Developed fraud detection system for banking with Apache Spark and Scala. Implemented real-time inventory optimization solution for retail with Apache Kafka. Orchestrated IoT data integration for smart construction projects using Java. Prototyped drug efficacy prediction model for pharma using R.	Databricks Certified Associate Developer for Apache Spark 3.0, TensorFlow Developer Certificate, GCP Professional Data Engineer, Databricks Certified Machine Learning Associate, AWS Certified Machine Learning – Specialty	Databricks Data+AI Summit 2022, GTC 2023	Python, GeoPandas, Scikit-learn, PySAL, ArcGIS, Google Cloud Platform (GCP), Kubernetes, Apache Airflow, TensorFlow, Apache Spark, Scala, Apache Kafka, Java	80
FMA	Federica Marino	Associate Consultant	Federica Marino holds an M.Sc. in Pharmaceutical Sciences and a B.Sc. in Chemistry from the University of Basel. Before joining D ONE, Federica worked as a Laboratory Scientist at Novartis for 2 years, mainly in projects around drug formulation. Her areas of expertise are data engineering and data science. Federica has been with the team since 2022.	MSc in Pharmaceutical Sciences (University of Basel), BSc in Chemistry (University of Basel)	Developed predictive models to optimize chemical compositions for new drugs. Engineered data pipelines for high-throughput screening data analysis using Airflow. Implemented a machine learning system for predicting drug stability over time.	Enhanced patient outcome prediction models for healthcare providers. Automated claims processing with AI for insurance companies. Developed risk assessment tools for construction project management. Implemented dynamic pricing algorithms for online retail platforms.	Microsoft Certified: Azure Data Engineer Associate, Databricks Certified Data Engineer Associate		Python, Apache Airflow, Databricks, Azure, Scikit-learn, Pandas, NumPy	80
